Course_id,Course,Course_organization,Course_Certificate_type,Course_rating,Course_difficulty,Course_students_enrolled
151,An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",SPECIALIZATION,4.6,Beginner,270000.0
752,Analysing: Numeric and digital literacies,Macquarie University,SPECIALIZATION,4.6,Beginner,79000.0
119,Anatomy,University of Michigan,SPECIALIZATION,4.8,Beginner,30000.0
302,"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,COURSE,4.8,Intermediate,36000.0
508,Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,COURSE,4.8,Beginner,20000.0
797,Ancient Philosophy: Aristotle and His Successors,University of Pennsylvania,COURSE,4.8,Mixed,8100.0
390,Android App Development,Vanderbilt University,SPECIALIZATION,4.5,Beginner,120000.0
201,Animal Behaviour and Welfare,The University of Edinburgh,COURSE,4.8,Mixed,71000.0
663,Antibiotic Stewardship,Stanford University,COURSE,4.5,Advanced,11000.0
799,Antimicrobial resistance - theory and methods,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,63000.0
8,Applied Data Science,IBM,SPECIALIZATION,4.6,Beginner,220000.0
637,Applied Data Science Capstone,IBM,COURSE,4.7,Intermediate,42000.0
26,Applied Data Science with Python,University of Michigan,SPECIALIZATION,4.5,Intermediate,480000.0
630,Applied Machine Learning in Python,University of Michigan,COURSE,4.6,Intermediate,150000.0
491,"Applied Plotting, Charting & Data Representation in Python",University of Michigan,COURSE,4.6,Intermediate,97000.0
437,Architecting with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Intermediate,4200.0
10,Architecting with Google Compute Engine,Google Cloud,SPECIALIZATION,4.7,Intermediate,310000.0
573,Architecting with Google Kubernetes Engine ,Google Cloud,SPECIALIZATION,4.5,Beginner,3900.0
56,Arizona State University TESOL,Arizona State University,PROFESSIONAL CERTIFICATE,4.9,Beginner,150000.0
479,Art & Activity: Interactive Strategies for Engaging with Art,The Museum of Modern Art,COURSE,4.8,Mixed,79000.0
452,Art & Ideas: Teaching with Themes,The Museum of Modern Art,COURSE,4.8,Mixed,31000.0
651,Arts and Culture Strategy,National Arts Strategies,COURSE,4.6,Mixed,15000.0
326,Arts and Heritage Management,UniversitÃ  Bocconi,COURSE,4.8,Mixed,15000.0
753,Astrobiology and the Search for Extraterrestrial Life,The University of Edinburgh,COURSE,4.7,Mixed,66000.0
210,Autism Spectrum Disorder,"University of California, Davis",COURSE,4.6,Mixed,56000.0
885,Autodesk CAD/CAM for Manufacturing,Autodesk,SPECIALIZATION,4.8,Intermediate,7300.0
468,Autodesk CAD/CAM/CAE for Mechanical Engineering,Autodesk,SPECIALIZATION,4.8,Intermediate,9200.0
702,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,COURSE,4.7,Advanced,22000.0
590,Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,COURSE,4.7,Advanced,9700.0
816,BIM Fundamentals for Engineers,National Taiwan University,COURSE,4.6,Beginner,13000.0
642,Basic Statistics,University of Amsterdam,COURSE,4.6,Beginner,180000.0
493,Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",COURSE,4.8,Intermediate,91000.0
602,Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",COURSE,4.8,Intermediate,29000.0
106,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,COURSE,4.9,Mixed,210000.0
294,Become a Journalist: Report the News!,Michigan State University,SPECIALIZATION,4.7,Beginner,28000.0
809,Become a Sustainable Business Change Agent,University of Colorado System,SPECIALIZATION,4.7,Intermediate,4200.0
776,Becoming a Sports Agent,Case Western Reserve University,COURSE,4.7,Beginner,6500.0
672,Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,COURSE,4.8,Beginner,61000.0
269,Behavioral Finance,Duke University,COURSE,4.4,Mixed,55000.0
456,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,COURSE,4.6,Mixed,2300.0
687,Biohacking Your Brain's Health,Emory University,COURSE,4.6,Beginner,35000.0
565,Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,COURSE,4.4,Beginner,88000.0
131,Biostatistics in Public Health,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,14000.0
751,Blended Language Learning: Design and Practice for Teachers,University of Colorado Boulder,COURSE,4.8,Intermediate,1900.0
251,Blockchain,University of Colorado Boulder,SPECIALIZATION,4.6,Intermediate,68000.0
143,Blockchain Revolution,University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,21000.0
462,Blockchain Revolution in Financial Services,University of Colorado Boulder,SPECIALIZATION,4.6,Beginner,1600.0
719,Blockchain: Foundations and Use Cases,ConsenSys Academy,COURSE,4.7,Beginner,31000.0
645,Boosting Creativity for Innovation,HEC Paris,COURSE,4.9,Beginner,9500.0
72,"Brand Management: Aligning Business, Brand and Behaviour",London Business School,COURSE,4.9,Beginner,57000.0
238,Branding: The Creative Journey,IE Business School,SPECIALIZATION,4.6,Beginner,26000.0
486,Budgeting and Scheduling Projects,"University of California, Irvine",COURSE,4.7,Mixed,84000.0
688,Bugs 101: Insect-Human Interactions,University of Alberta,COURSE,4.9,Beginner,15000.0
395,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,COURSE,4.9,Mixed,95000.0
653,Building Batch Data Pipelines on GCP,Google Cloud,COURSE,4.5,Intermediate,7300.0
670,Building Conversational Experiences with Dialogflow,Google Cloud,COURSE,4.5,Beginner,22000.0
884,Building Resilient Streaming Analytics Systems on GCP,Google Cloud,COURSE,4.6,Intermediate,5800.0
610,Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,COURSE,4.3,Intermediate,24000.0
824,Building Your Leadership Skills,HEC Paris,COURSE,4.5,Mixed,67000.0
17,Business Analytics,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,280000.0
611,Business English,Arizona State University,SPECIALIZATION,4.7,Intermediate,38000.0
168,Business English Communication Skills,University of Washington,SPECIALIZATION,4.7,Intermediate,120000.0
738,Business English: Networking,University of Washington,COURSE,4.7,Intermediate,77000.0
7,Business Foundations,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,510000.0
410,Business Model Innovation,HEC Paris,COURSE,4.7,Mixed,13000.0
96,Business Statistics and Analysis,Rice University,SPECIALIZATION,4.7,Beginner,110000.0
126,Business Strategies for A Better World,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,24000.0
104,Business Strategy,University of Virginia,SPECIALIZATION,4.7,Beginner,89000.0
233,Business Technology Management,Indian School of Business,SPECIALIZATION,4.5,Beginner,67000.0
478,Business Transformation with Google Cloud,Google Cloud,COURSE,4.7,Beginner,10000.0
539,Business Writing,University of Colorado Boulder,COURSE,4.8,Beginner,48000.0
23,Business and Financial Modeling,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,160000.0
662,C for Everyone: Programming Fundamentals,"University of California, Santa Cruz",COURSE,4.5,Beginner,31000.0
222,C# Programming for Unity Game Development,University of Colorado System,SPECIALIZATION,4.7,Beginner,36000.0
21,COVID-19 Contact Tracing,Johns Hopkins University,COURSE,4.9,Beginner,220000.0
450,COVID-19: What You Need to Know (CME Eligible),Osmosis,COURSE,4.8,Beginner,32000.0
525,"Cameras, Exposure, and Photography",Michigan State University,COURSE,4.7,Mixed,130000.0
536,"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,COURSE,4.6,Mixed,82000.0
44,Career Success,"University of California, Irvine",SPECIALIZATION,4.4,Beginner,790000.0
736,Challenging Forensic Science: How Science Should Speak to Court,University of Lausanne,COURSE,4.8,Beginner,31000.0
718,Chemicals and Health,Johns Hopkins University,COURSE,4.7,Beginner,23000.0
726,Chicken Behaviour and Welfare,The University of Edinburgh,COURSE,4.7,Mixed,19000.0
161,Child Nutrition and Cooking,Stanford University,COURSE,4.7,Beginner,30000.0
737,Chinese for HSK 1,Peking University,COURSE,4.8,Beginner,22000.0
95,Cisco Networking Basics,Cisco,SPECIALIZATION,4.7,Beginner,57000.0
848,Classical Sociological Theory,University of Amsterdam,COURSE,4.8,Mixed,51000.0
457,Climate Change and Health: From Science to Action,Yale University,SPECIALIZATION,4.6,Beginner,4800.0
275,Clinical Terminology for International and U.S. Students,University of Pittsburgh,COURSE,4.8,Beginner,32000.0
349,Cloud Computing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate,110000.0
777,Cloud Computing Basics (Cloud 101),LearnQuest,COURSE,4.5,Beginner,37000.0
9,Cloud Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.7,Intermediate,310000.0
276,Coaching Skills for Managers,"University of California, Davis",SPECIALIZATION,4.7,Intermediate,37000.0
655,Code Yourself! An Introduction to Programming,The University of Edinburgh,COURSE,4.7,Beginner,120000.0
709,Communication Skills for Engineers,Rice University,SPECIALIZATION,4.7,Beginner,15000.0
305,Communication Strategies for a Virtual Age,University of Toronto,COURSE,4.8,Beginner,43000.0
890,Compassionate Leadership Through Service Learning with Jane Goodall and Roots & Shoots,University of Colorado Boulder,COURSE,4.9,Beginner,6400.0
391,Computational Social Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner,5800.0
221,Computational Thinking for Problem Solving,University of Pennsylvania,COURSE,4.8,Beginner,33000.0
621,Computer Security and Systems Management,University of Colorado System,SPECIALIZATION,4.6,Beginner,27000.0
439,Conflict Management,"University of California, Irvine",SPECIALIZATION,4.3,Beginner,66000.0
728,Construction Cost Estimating and Cost Control,Columbia University,COURSE,4.7,Beginner,19000.0
48,Construction Management,Columbia University,SPECIALIZATION,4.7,Beginner,61000.0
290,Construction Project Management,Columbia University,COURSE,4.8,Beginner,43000.0
794,Construction Scheduling,Columbia University,COURSE,4.8,Beginner,15000.0
273,Content Strategy for Professionals,Northwestern University,SPECIALIZATION,4.5,Beginner,27000.0
448,Continuous Delivery & DevOps,University of Virginia,COURSE,4.6,Beginner,26000.0
815,Control of Mobile Robots,Georgia Institute of Technology,COURSE,4.8,Mixed,49000.0
207,Convolutional Neural Networks,deeplearning.ai,COURSE,4.9,Intermediate,240000.0
358,Convolutional Neural Networks in TensorFlow,deeplearning.ai,COURSE,4.7,Intermediate,46000.0
725,Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,COURSE,4.8,Intermediate,10000.0
458,Corporate Finance Essentials,IESE Business School,COURSE,4.8,Mixed,56000.0
714,Corporate Strategy,UCL School of Management,COURSE,4.8,Beginner,7800.0
301,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,University of  Bocconi,COURSE,4.6,Mixed,10000.0
854,Cost and Economics in Pricing Strategy,University of Virginia,COURSE,4.8,Beginner,15000.0
544,Costos para los Negocios,Universidad de Chile,COURSE,4.8,Intermediate,43000.0
179,Crash Course on Python,Google,COURSE,4.8,Beginner,81000.0
463,Creative Problem Solving,University of Minnesota,COURSE,4.3,Mixed,140000.0
59,Creative Writing,Wesleyan University,SPECIALIZATION,4.6,Beginner,140000.0
371,Creative Writing: The Craft of Plot,Wesleyan University,COURSE,4.7,Mixed,120000.0
248,Culture-Driven Team Building,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,150000.0
820,Curanderismo: Traditional Healing Using Plants,University of New Mexico,COURSE,4.6,Beginner,26000.0
566,Customer Segmentation and Prospecting,Northwestern University,COURSE,4.7,Beginner,22000.0
372,Cybersecurity,"University of Maryland, College Park",SPECIALIZATION,4.5,Intermediate,17000.0
821,Cybersecurity and Its Ten Domains,University System of Georgia,COURSE,4.2,Beginner,5.5
497,Cybersecurity for Business,University of Colorado System,SPECIALIZATION,4.6,Beginner,18000.0
764,Dairy Production and Management,The Pennsylvania State University,COURSE,4.8,Mixed,140000.0
812,Data Analysis and Interpretation,Wesleyan University,SPECIALIZATION,4.4,Beginner,23000.0
39,Data Analysis and Presentation Skills: the PwC Approach,PwC,SPECIALIZATION,4.6,Beginner,55000.0
277,Data Analysis with Python,IBM,COURSE,4.7,Beginner,23000.0
605,Data Analytics for Lean Six Sigma,University of Amsterdam,COURSE,4.8,Beginner,100000.0
783,Data Collection and Processing with Python,University of Michigan,COURSE,4.7,Intermediate,220000.0
679,Data Engineering on Google Cloud Platform ,Google Cloud,SPECIALIZATION,4.4,Intermediate,110000.0
22,Data Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.6,Intermediate,24000.0
24,"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,SPECIALIZATION,4.6,Intermediate,19000.0
383,Data Management for Clinical Research,Vanderbilt University,COURSE,4.7,Beginner,3000.0
434,Data Mining,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate,120000.0
13,Data Science,Johns Hop000ins University,SPECIALIZATION,4.5,Beginner,120000.0
399,Data Science Math S000ills,Duke University,COURSE,4.5,Beginner,42000.0
198,Data Science Methodology,IBM,COURSE,4.6,Beginner,140000.0
15,Data Science: Foundations using R,Johns Hopkins University,SPECIALIZATION,4.6,Beginner,830000.0
148,Data Science: Statistics and Machine Learning,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate,140000.0
686,Data Visualization and Communication with Tableau,Duke University,COURSE,4.7,Mixed,89000.0
804,Data Visualization with Advanced Excel,PwC,COURSE,4.8,Beginner,740000.0
420,Data Visualization with Python,IBM,COURSE,4.6,Intermediate,210000.0
70,Data Visualization with Tableau,"University of California, Davis",SPECIALIZATION,4.5,Beginner,130000.0
288,Data Warehousing for Business Intelligence,University of Colorado System,SPECIALIZATION,4.5,Advanced,60000.0
871,Data and Health Indicators in Public Health Practice,Johns Hopkins University,COURSE,4.7,Beginner,66000.0
376,Data-driven Decision Making,PwC,COURSE,4.6,Beginner,96000.0
263,Databases and SQL for Data Science,IBM,COURSE,4.7,Beginner,140000.0
519,De-Mystifying Mindfulness,Universiteit Leiden,COURSE,4.8,Beginner,18000.0
813,Decision-Making and Scenarios,University of Pennsylvania,COURSE,4.6,Mixed,120000.0
5,Deep Learning,deeplearning.ai,SPECIALIZATION,4.8,Intermediate,110000.0
806,Dentistry 101,University of Michigan,COURSE,4.7,Beginner,31000.0
627,Dermatology: Trip to skin,Novosibirsk State University ,COURSE,4.4,Beginner,690000.0
100,Design Thinking for Innovation,University of Virginia,COURSE,4.6,Beginner,44000.0
674,Design Thinking for the Greater Good: Innovation in the Social Sector,University of Virginia,COURSE,4.6,Beginner,4500.0
139,Design and Interpretation of Clinical Trials,Johns Hopkins University,COURSE,4.7,Mixed,8200.0
522,Design and Make Infographics (Project-Centered Course),Michigan State University,COURSE,4.7,Mixed,240000.0
430,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,COURSE,4.6,Intermediate,17000.0
338,Developing APIs with Google Cloud's Apigee API Platform,Google Cloud,SPECIALIZATION,4.6,Intermediate,67000.0
18,Developing Applications with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,Intermediate,97000.0
720,Developing Industrial Internet of Things,University of Colorado Boulder,SPECIALIZATION,4.6,Intermediate,16000.0
756,Developing Your Musicianship,Berklee College of Music,COURSE,4.8,Mixed,300000.0
205,Developing Your Musicianship,Berklee College of Music,SPECIALIZATION,4.8,Beginner,4000.0
397,Devenir entrepreneur du changement,Ticket for Change,COURSE,4.7,Mixed,8000.0
239,Digital Advertising Strategy,University of Colorado Boulder,SPECIALIZATION,4.4,Beginner,41000.0
855,Digital Business Models,Lund University,COURSE,4.5,Beginner,54000.0
237,Digital Manufacturing & Design Technology,University at Buffalo,SPECIALIZATION,4.6,Beginner,54000.0
28,Digital Marketing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,9000.0
852,Digital Media and Marketing Strategies,University of Illinois at Urbana-Champaign,COURSE,4.4,Mixed,21000.0
53,Digital Product Management,University of Virginia,SPECIALIZATION,4.7,Beginner,37000.0
381,Digital Product Management: Modern Fundamentals,University of Virginia,COURSE,4.7,Beginner,380000.0
490,Dino 101: Dinosaur Paleobiology,University of Alberta,COURSE,4.5,Beginner,57000.0
697,Discrete Optimization,The University of Melbourne,COURSE,4.9,Intermediate,140000.0
378,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,COURSE,4.8,Intermediate,40000.0
392,Dog Emotion and Cognition,Duke University,COURSE,4.6,Mixed,4000.0
624,Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,COURSE,4.8,Beginner,21000.0
487,Drug Commercialization,University of California San Diego,COURSE,4.7,Beginner,130000.0
342,Drug Discovery,University of California San Diego,COURSE,4.6,Beginner,150000.0
166,Dynamic Public Speaking,University of Washington,SPECIALIZATION,4.7,Beginner,5600.0
832,EMT Foundations,University of Colorado System,COURSE,4.8,Beginner,17000.0
494,Ecology: Ecosystem Dynamics and Conservation,American Museum of Natural History,COURSE,4.8,Intermediate,39000.0
641,Econometrics: Methods and Applications,Erasmus University Rotterdam,COURSE,4.7,Mixed,110000.0
229,Economics of Money and Banking,Columbia University,COURSE,4.9,Mixed,7100.0
707,Ecosystem Services: a Method for Sustainable Development,University of Geneva,COURSE,4.7,Intermediate,18000.0
773,Effective Compliance Programs,University of Pennsylvania,COURSE,4.9,Mixed,110000.0
564,Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,COURSE,4.7,Intermediate,3400.0
870,Electric Industry Operations and Markets,Duke University,COURSE,4.8,Beginner,46000.0
122,Electronic Music Production,Berklee College of Music,SPECIALIZATION,4.8,Intermediate,1500.0
733,Emerging Technologies: From Smartphones to IoT to Big Data,Yonsei University,SPECIALIZATION,4.6,Beginner,57000.0
267,"Energy Production, Distribution & Safety",University at Buffalo,SPECIALIZATION,4.7,Beginner,12000.0
461,Engineering Health: Introduction to Yoga and Physiology,New York University,COURSE,4.8,Beginner,110000.0
560,Engineering Project Management: Initiating and Planning,Rice University,COURSE,4.7,Beginner,17000.0
613,English Composition I,Duke University,COURSE,4.6,Beginner,37000.0
225,English for Business and Entrepreneurship,University of Pennsylvania,COURSE,4.8,Beginner,14000.0
175,English for Career Development,University of Pennsylvania,COURSE,4.8,Mixed,23000.0
303,English for Journalism,University of Pennsylvania,COURSE,4.8,Mixed,200000.0
547,English for Research Publication Purposes,Moscow Institute of Physics and Technology,SPECIALIZATION,4.6,Intermediate,230000.0
598,"English for Science, Technology, Engineering, and Mathematics",University of Pennsylvania,COURSE,4.8,Beginner,760000.0
770,Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,COURSE,4.4,Beginner,130000.0
292,Entrepreneurial Finance: Strategy and Innovation,Duke University,SPECIALIZATION,4.5,Intermediate,42000.0
33,Entrepreneurship,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,110000.0
246,Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,COURSE,4.8,Mixed,2400.0
496,Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,COURSE,4.8,Mixed,7900.0
704,Entrepreneurship 3: Growth Strategies,University of Pennsylvania,COURSE,4.7,Beginner,110000.0
623,Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,COURSE,4.8,Beginner,86000.0
502,Entrepreneurship: Launching an Innovative Business,"University of Maryland, College Park",SPECIALIZATION,4.6,Beginner,38000.0
527,Epidemics - the Dynamics of Infectious Diseases,The Pennsylvania State University,COURSE,4.8,Mixed,31000.0
570,"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,COURSE,4.7,Mixed,20000.0
426,Epidemiology for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner,69000.0
60,Epidemiology in Public Health Practice,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,45000.0
351,Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,COURSE,4.6,Mixed,23000.0
708,Epigenetic Control of Gene Expression,The University of Melbourne,COURSE,4.8,Mixed,6400.0
444,Equine Welfare and Management,"University of California, Davis",COURSE,4.8,Beginner,31000.0
693,Esports,"University of California, Irvine",SPECIALIZATION,4.5,Beginner,130000.0
454,Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,COURSE,4.7,Beginner,35000.0
446,Essential Google Cloud Infrastructure: Core Services,Google Cloud,COURSE,4.7,Intermediate,7200.0
347,Essential Google Cloud Infrastructure: Foundation,Google Cloud,COURSE,4.7,Intermediate,1800.0
314,Essentials in Clinical Simulations Across the Health Professions,The George Washington University,COURSE,4.8,Intermediate,14000.0
436,Essentials of Corporate Finance,The University of Melbourne,SPECIALIZATION,4.6,Intermediate,68000.0
319,Essentials of Global Health,Yale University,COURSE,4.8,Mixed,83000.0
256,"Everyday Excel, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner,31000.0
278,Everyday Parenting: The ABCs of Child Rearing,Yale University,COURSE,4.9,Beginner,27000.0
11,Excel Skills for Business,Macquarie University,SPECIALIZATION,4.9,Beginner,13000.0
591,Excel Skills for Business: Advanced,Macquarie University,COURSE,4.7,Intermediate,11000.0
92,Excel Skills for Business: Essentials,Macquarie University,COURSE,4.9,Beginner,86000.0
218,Excel Skills for Business: Intermediate I,Macquarie University,COURSE,4.9,Intermediate,240000.0
419,Excel Skills for Business: Intermediate II,Macquarie University,COURSE,4.8,Intermediate,39000.0
38,Excel to MySQL: Analytic Techniques for Business,Duke University,SPECIALIZATION,4.6,Beginner,200000.0
124,Excel/VBA for Creative Problem Solving,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,76000.0
418,"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner,39000.0
137,Executive Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,490000.0
99,Fashion as Design,The Museum of Modern Art,COURSE,4.8,Beginner,54000.0
509,Feminism and Social Justice,"University of California, Santa Cruz",COURSE,4.8,Beginner,170000.0
442,FinTech Law and Policy,Duke University,COURSE,4.8,Beginner,28000.0
531,FinTech: Finance Industry Transformation and Regulation,The Hong Kong University of Science and Technology,SPECIALIZATION,4.6,Beginner,180000.0
453,"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,COURSE,4.7,Beginner,18000.0
16,Finance & Quantitative Modeling for Analysts,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,9700.0
257,Finance for Non-Finance Professionals,Rice University,COURSE,4.8,Beginner,13000.0
778,Finance for Non-Financial Managers,Emory University,COURSE,4.4,Intermediate,12000.0
85,Financial Accounting Fundamentals,University of Virginia,COURSE,4.8,Beginner,260000.0
396,Financial Acumen for Non-Financial Managers,University of Pennsylvania,COURSE,4.5,Beginner,69000.0
158,Financial Engineering and Risk Management Part I,Columbia University,COURSE,4.6,Mixed,12000.0
149,Financial Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,65000.0
14,Financial Markets,Yale University,COURSE,4.8,Beginner,10000.0
259,Financial Markets and Investment Strategy,Indian School of Business,SPECIALIZATION,4.5,Beginner,100000.0
682,Financial Reporting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,76000.0
356,Financial Technology (Fintech) Innovations,University of Michigan,SPECIALIZATION,4.7,Beginner,470000.0
382,Financing and Investing in Infrastructure,University of  Bocconi,COURSE,4.8,Mixed,60000.0
366,Finanzas corporativas,University of  Bocconi,SPECIALIZATION,4.6,Intermediate,12000.0
552,Finanzas personales,University of  Bocconi,COURSE,4.8,Mixed,6500.0
109,Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,COURSE,4.7,Beginner,24000.0
66,Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,30000.0
113,First Step Korean,Yonsei University,COURSE,4.9,Beginner,310000.0
102,Food & Beverage Management,University of  Bocconi,COURSE,4.8,Mixed,36000.0
174,Forensic Accounting and Fraud Examination,West Virginia University,COURSE,4.7,Mixed,20000.0
337,Foundational Finance for Strategic Decision Making,University of Michigan,SPECIALIZATION,4.8,Beginner,57000.0
721,Foundations of Business Strategy,University of Virginia,COURSE,4.8,Beginner,42000.0
